City,avg_rating,review_count,rating_std
Ariyankuppam,4.5,2,0.7071
Arayankavu,4.5,2,0.7071
Damoy,4.5,2,0.7071
Shahdara Sharif,4.5,2,0.7071
Shravanabelagola,4.5,2,0.7071
Dasanapura,4.5,2,0.7071
Ujire,4.5,20,0.6882
Falna,4.5,2,0.7071
Siddapur,4.5,26,0.9487
Udalguri,4.5,2,0.7071
Siruvachur,4.5,2,0.7071
Spangmik,4.5,16,0.8165
Ambasamudram,4.5,2,0.7071
Ambur,4.5,12,0.5222
Mandapeta,4.5,2,0.7071
Redi,4.5,18,0.9852
Kanjirappally,4.5,8,0.7559
Maravanthe,4.5,4,1.0
Mazbat,4.5,2,0.7071
Narsapur,4.5,2,0.7071
Rajgurunagar,4.5,2,0.7071
Budaun,4.5,2,0.7071
Mandarthi,4.5,4,0.5774
Nelamangala,4.5,2,0.7071
Jetpur,4.5,16,0.7303
Khargone,4.5,10,0.527
Bidarakatte,4.5,4,0.5774
Nurpur,4.5,4,0.5774
Karuvarakundu,4.5,8,0.5345
Mannarkkad,4.493,71,0.6734
Someshwar,4.4892,139,0.6298
Mararikulam,4.4872,1324,0.7573
Sernabatim,4.4865,37,0.6507
Bilimora,4.48,25,0.7141
Banjar,4.48,25,0.7141
Nongpoh,4.4796,98,0.6921
Tarkarli,4.4794,194,0.7495
Satna,4.4783,23,0.5108
Cansaulim,4.4745,548,0.7339
Igatpuri,4.4738,401,0.7483
Nakodar,4.4737,19,0.7723
Talegaon,4.4737,57,0.7345
Thiksey,4.4737,19,0.7723
Canacona,4.4733,3159,0.7702
Murdeshwar,4.4716,757,0.7652
Belluru,4.4694,49,0.9377
Chinchoti,4.4681,47,0.7475
Hamirpur,4.4667,15,0.7432
Gopalpur On Sea,4.4667,45,0.7568
Bongaigaon,4.4667,15,0.5164
Moradabad,4.4643,84,0.6484
Lonavala,4.4641,8474,0.8258
Paithalmala,4.4615,78,0.6779
Kudal,4.4615,52,0.8035
Mandawa,4.4615,26,0.5818
Sunkadahalli,4.4611,386,0.6836
Penha-de-Franca,4.4583,24,0.7211
Bir,4.4583,48,0.7426
Shamlaji,4.4565,46,0.6898
Noida,4.4562,4849,0.8224
Jalandhar,4.456,978,0.7383
Kaushambi,4.4557,542,0.7956
Nawada,4.4545,11,0.5222
Sundarban,4.4545,11,0.5222
Chirala,4.4533,75,0.843
Ponnampet,4.4524,42,0.8612
Ramgarh,4.4522,230,0.8791
Valsad,4.4516,434,0.7771
Kottarakkara,4.45,20,0.7592
Karad,4.45,20,0.6048
Ketkawale,4.45,40,0.8458
Pratapgarh,4.45,20,0.6863
Lava,4.45,80,0.8252
Surat,4.4485,3556,0.8029
Malpe,4.447,557,0.7931
Nedumkandam,4.4468,47,0.7165
Mulki,4.4444,18,0.9835
Palia Kalan,4.4444,9,0.7265
Gobichettipalayam,4.4444,9,1.0138
Ranakpur,4.4438,187,0.7765
Sattal,4.4414,222,0.775
Kumily,4.4413,775,0.7234
Velneshwar,4.4407,59,0.7717
Shahapur,4.44,25,0.8699
Pantnagar,4.4375,16,0.6292
Arambol,4.4367,1248,0.8203
Amer,4.434,21055,0.7734
Sirsa,4.434,53,0.747
Quepem,4.4328,67,0.8389
Thamarassery,4.4318,132,0.7636
Shivpuri,4.4304,158,0.8398
Dehradun,4.4287,1500,0.7501
Paravoor,4.4286,7,0.5345
Dhule,4.4286,7,0.5345
Wargal,4.4286,7,0.7868
Phalodi,4.4286,7,0.7868
Arki,4.4286,7,0.5345
Chitkul,4.4286,70,0.7137
Halol,4.4286,7,0.7868
Koriya,4.4286,7,0.7868
Azheekal,4.4286,14,0.9376
Nalbari,4.4286,7,1.1339
Nagaur,4.4274,124,0.7454
Ratlam,4.4273,110,0.6699
Thottada,4.4269,171,0.789
Kundapur,4.4264,197,0.8024
Dahanu,4.426,169,0.7292
Kotdwara,4.4259,54,0.7673
Covelong,4.4214,159,0.7986
Taradevi,4.419,253,0.7116
Rohet,4.4189,74,0.5491
Sitarganj,4.4167,12,0.9962
Davanagere,4.4167,12,0.9003
Raebareli,4.4167,12,0.793
Sirmour,4.4167,24,0.7755
Patratu,4.4167,24,0.8297
Khunti,4.4167,12,0.6686
Bekal,4.4167,528,0.7574
Jalna,4.4167,12,0.6686
Himmatnagar,4.4156,77,0.8327
Gandhinagar,4.4153,1180,0.7708
Hubli-Dharwad,4.4145,719,0.8043
Pune District,4.4118,17,0.7123
Betul,4.4091,22,0.5903
Kamargaon,4.4091,22,0.6661
Ongole,4.4074,27,0.7971
Vypin Island,4.4055,1746,0.7964
Sadri,4.4051,2456,0.778
Paonta Sahib,4.4045,89,0.7186
Panshet,4.4044,183,0.7986
Colva,4.4008,1921,0.829
Garjiya,4.4,10,0.6992
Mahul Pali,4.4,5,0.8944
Seoni,4.4,10,0.5164
Pomburpa,4.4,5,0.5477
Alto-Porvorim,4.4,5,1.3416
Batala,4.4,5,0.5477
Cumbum,4.4,5,0.5477
Mangeshi,4.4,30,0.724
Eluru,4.4,10,0.6992
Tenali,4.4,10,0.6992
Kasol,4.4,5,0.8944
Hinjewadi,4.4,20,0.8208
Jariput,4.4,5,0.5477
Kavi,4.4,5,0.8944
Raikot,4.4,5,0.8944
Kainakary,4.4,5,0.8944
Kaipadar,4.4,5,0.8944
Saharsa,4.4,5,0.5477
Amboli,4.3978,93,0.7681
Bhilwara,4.3962,106,0.7261
Sonda,4.3939,33,0.7044
Tripunithura,4.3934,61,0.8222
Durg,4.3926,163,0.749
Jalore,4.3922,51,0.7504
Chhatarpur,4.3909,307,0.8306
Belur,4.3907,1853,0.7591
Chandigarh,4.3907,9991,0.8073
Dhanbad,4.3896,367,0.7846
Bareilly,4.3892,185,0.7371
Nilambur,4.3889,108,0.8069
Gurugram (Gurgaon),4.3882,11395,0.822
Diveagar,4.3874,573,0.8108
Mapusa,4.3855,1528,0.8181
Buldana,4.3853,109,0.8267
Ariyurnadu,4.383,47,0.8736
Sirohi,4.3822,191,0.8114
Bengaluru,4.3814,54733,0.8
Harihar,4.381,21,0.669
Vashisht,4.381,21,0.669
Bardez,4.3804,3478,0.8175
Kalol,4.38,100,0.8138
Anjarle,4.3783,267,0.7823
Ganpatipule,4.378,1820,0.7554
Guhagar,4.3777,188,0.7814
Mukteshwar,4.3769,1125,0.7722
Varkala Town,4.3768,3254,0.8198
Pandavapura,4.375,16,0.7188
Narasapura,4.375,16,0.5
Valpoi,4.375,40,0.8066
Thiruvilvamala,4.375,8,0.744
Koonthakulam,4.375,8,0.744
Shoghi,4.375,72,0.9106
Panna Tiger Reserve,4.375,8,0.744
Dhenkanal,4.375,24,0.8754
Raigarh,4.375,8,0.9161
Uppalapadu,4.375,16,0.7188
Panchkula,4.374,877,0.77
Gandikota,4.3732,276,0.7967
Kashid,4.3723,752,0.8493
Mavelikara,4.3721,43,0.6555
Thariyode,4.3697,119,0.7349
Jalgaon,4.3693,176,0.7819
Mhow,4.3684,57,0.899
Dombivli,4.3684,19,0.684
Vellamunda,4.3684,38,0.913
Tadipatri,4.3684,19,0.684
Vattavada,4.3667,30,0.7184
Khurda,4.3663,101,0.8213
Neemuch,4.3659,41,0.7334
Vajreshwari,4.3645,107,0.9555
Naukuchiatal,4.3636,429,0.8049
Ayyampuzha,4.3636,11,0.9244
Hatkoti,4.3636,11,0.9244
Saundatti,4.3636,11,0.6742
Kemmannagundi,4.3636,11,0.6742
Ghaziabad,4.3623,886,0.7787
Kovalam,4.3615,3914,0.8385
Mudigere,4.3611,36,0.8993
Bhandardara,4.3611,108,0.8478
Manipal,4.361,457,0.7601
Karnal,4.3607,183,0.7852
Chalakudy,4.3589,248,0.8224
Peermade,4.3571,126,0.8435
Bogmalo,4.3568,241,0.8449
Nawalgarh,4.3532,201,0.7679
Mettupalayam,4.3529,17,0.7859
Kanker,4.3529,17,0.8618
Yavatmal,4.3529,34,0.8121
Nashik,4.3525,6596,0.854
Hemis,4.3504,234,0.8004
Solan,4.35,320,0.8282
Darbhanga,4.35,20,0.6708
Jamshedpur,4.3499,1126,0.7401
Tirumala,4.3494,83,0.8473
Nadiad,4.3491,106,0.7812
Nameri National Park,4.3488,43,0.8697
Mandsaur,4.3488,43,0.7523
Fatehpur,4.3488,43,0.9228
Hosur,4.3487,152,0.8159
Greater Noida,4.3486,568,0.8451
Sarahan,4.3476,187,0.7492
Pinjore,4.3474,285,0.8488
Sinquerim,4.3471,2233,0.8038
Netravali,4.3469,49,0.7786
Chandannagar,4.3465,101,0.8054
Jhunjhunu,4.3464,153,0.8217
Bhimtal,4.3462,936,0.8181
Sinnar,4.3457,81,0.7099
Tenkasi,4.3451,113,0.765
Kalimpong,4.3446,1721,0.7816
Nanded,4.343,277,0.8174
Mahuva,4.3429,35,0.6835
Rawatbhata,4.3429,35,0.6835
Narendranagar,4.3415,41,0.7619
Kushalnagar,4.3411,129,0.7126
Arpora,4.3396,2273,0.9086
Mandarmani,4.3393,843,0.9111
Navsari,4.3383,133,0.8429
Navi Mumbai,4.3377,4057,0.7884
Salasar,4.3371,267,0.7451
Purulia,4.3368,291,0.8769
Osian,4.3356,149,0.7764
Kanhangad,4.3333,24,0.8681
Qadian,4.3333,6,0.8165
Subrahmanya,4.3333,3,0.5774
Haripurdhar,4.3333,9,0.7071
Rampur,4.3333,9,0.866
Jhalrapatan,4.3333,6,0.5164
Anchal,4.3333,3,1.1547
Kotkhai,4.3333,9,0.7071
Ranipet,4.3333,3,0.5774
Salkanpur,4.3333,6,1.0328
Sadahalli,4.3333,3,0.5774
Hoshiarpur,4.3333,21,0.7958
Rohtas,4.3333,3,1.1547
Karsog,4.3333,6,0.8165
Motihari,4.3333,9,0.866
Barua Sagar,4.3333,3,0.5774
Rajakkad,4.3333,3,0.5774
Vemulawada,4.3333,6,0.8165
Sandur,4.3333,12,0.6513
Rajapalayam,4.3333,6,0.8165
Cortalim,4.3333,6,0.8165
Kalyani,4.3333,3,0.5774
Sanasar,4.3333,3,0.5774
Rajpura,4.3333,15,0.6172
Kokrajhar,4.3333,3,0.5774
Baga,4.3309,6589,0.8859
Dharamsala,4.3302,4758,0.8334
Salem,4.3295,959,0.79
Chowara,4.3294,85,0.9308
Nadia,4.3289,149,0.8174
Kota,4.3271,859,0.7897
Angul,4.3269,52,0.9014
Thane,4.3254,2022,0.858
Saligao,4.3254,169,0.8205
Kanipakam,4.3253,83,0.7668
Pahalgam,4.3241,3882,0.8467
Ahmedabad,4.3238,18732,0.8036
Anandpur Sahib,4.3226,93,0.7962
Pilani,4.3214,56,0.6355
Mannargudi,4.3214,28,0.6696
Kottayam,4.3212,1124,0.8265
Kullu,4.3206,1416,0.8383
Nanded-Waghala,4.32,50,0.7677
Thrikkakara,4.32,25,0.8021
Mandi,4.3184,625,0.8201
Tinsukia,4.3182,154,0.8061
Vaikom,4.3182,44,0.9092
Secunderabad,4.3176,340,0.7598
Lavasa,4.3161,310,0.9331
Vasco da Gama,4.316,576,0.822
Vagamon,4.316,712,0.8077
Koraput,4.3158,57,0.6313
Kawardha,4.3158,76,0.7867
Jeypore,4.3158,57,0.7111
Jawhar,4.3151,73,0.8144
Gokak,4.3143,35,0.9
Ramanagara,4.3136,118,0.8935
Athirappilly,4.3135,1040,0.8219
Pothamedu,4.3135,370,0.7991
Maheshwar,4.3127,534,0.7925
Agra,4.3126,39271,0.8521
Tijara,4.3125,48,0.7761
Titwala,4.3125,16,0.7042
Ranthambore National Park,4.3119,545,0.839
Yuksom,4.3113,212,0.8416
Kannan Devan Hills,4.3111,315,0.7931
Raipur,4.311,1582,0.7909
Tumkur,4.3099,342,0.8089
Nainital,4.3094,7961,0.817
Malvan,4.3091,1404,0.8035
Lansdowne,4.309,2563,0.8362
Muzaffarpur,4.3084,107,0.7449
Mashobra,4.3077,65,0.8646
Mahe,4.3077,13,0.7511
Vrindavan,4.3073,2997,0.8604
Kalka,4.3056,36,0.7099
Bharuch,4.3055,563,0.813
Baijnath,4.305,141,0.7648
Karauli,4.3049,164,0.7544
Vasai,4.3046,174,0.9023
Mangalore,4.3045,4352,0.8093
Divar Island,4.3043,23,0.8757
Namsai,4.3043,23,0.8221
Ramnagar,4.3029,482,0.8528
Sagara,4.3026,76,0.7663
Bhowali,4.3021,96,0.8223
Paradeep,4.3019,53,0.8679
Bordi,4.3013,156,0.8682
Pratappur,4.3,10,1.2517
Latur,4.3,50,0.8144
Jharsuguda,4.3,20,0.7327
Sivasagar,4.3,20,0.7327
Hazaribagh,4.3,100,0.8704
Lamayuru,4.2993,274,0.7738
Thrissur,4.2991,2745,0.8107
Singalila National Park,4.2991,234,0.8468
Pimpri-Chinchwad,4.2973,222,0.7622
Kuruppampady,4.2973,37,0.968
Kotagiri,4.2968,374,0.854
Rourkela,4.2967,364,0.8198
Udupi,4.296,1858,0.7784
Dapoli,4.2959,784,0.8807
New Tehri,4.2947,319,0.7776
Kanpur,4.2943,1084,0.8361
Dehgam,4.2941,34,0.8714
Anachal,4.2939,245,0.8119
Krishnagiri,4.2921,89,0.8421
Gondal,4.2917,96,0.8696
Pauri,4.2911,79,0.8646
Mansar,4.2909,55,0.9364
Sivakasi,4.2903,31,0.7829
Anantapur,4.2903,124,0.8042
Loleygaon,4.2899,69,0.7878
Mount Abu,4.2898,6871,0.8313
Kanger Valley National Park,4.2891,128,0.805
Srinagar,4.2882,17225,0.8284
Bapatla,4.2879,132,0.8519
Bangaram,4.2871,101,0.9417
Puthuppally,4.2857,7,0.488
Bhatkal,4.2857,84,0.7536
Nongstoin,4.2857,14,0.9945
Moga,4.2857,35,0.7101
Nattarasankottai,4.2857,7,0.7559
Kupwara,4.2857,7,1.1127
Palghar,4.2857,119,0.8844
Malavalli,4.2857,7,0.9512
Dindori,4.2857,7,1.1127
Adoor,4.2857,7,0.7559
Burdwan,4.2857,14,0.8254
Ullal,4.2857,14,1.069
Umbergaon,4.2857,7,0.7559
Chikka Madhure,4.2857,7,0.488
Balangir,4.2857,7,0.9512
Bokaro Steel City,4.2848,151,0.7948
Panna,4.2844,109,0.7828
Banswara,4.2843,102,0.7627
Thriprayar,4.2841,88,0.7573
Rajkot,4.2838,1614,0.803
Jodhpur,4.2828,15745,0.8366
Sringeri,4.2824,340,0.785
Vikarabad,4.2821,156,0.8254
Mysuru (Mysore),4.2814,22741,0.8376
Hastinapur,4.2812,32,0.7719
Shirgaon,4.2812,64,0.7008
Ganeshgudi,4.2807,57,0.6749
Pondicherry,4.2804,12271,0.8737
Gorakhpur,4.2803,396,0.8448
Nalagarh,4.28,25,1.2423
Mukutmanipur,4.28,125,0.8576
Nahan,4.2792,240,0.9063
Chakrata,4.2789,147,0.8341
Khandala,4.2789,2212,0.8636
Sri Ganganagar,4.2787,61,0.8192
Thirunelly,4.2778,18,0.7519
Wokha,4.2778,18,0.7519
Bundi,4.2773,1284,0.9104
Coimbatore,4.2771,5544,0.8179
Chikkaballapur,4.2767,1294,0.8585
Bhuvanagiri,4.2766,47,0.7995
Temi,4.2759,116,0.8606
Bhopal,4.2748,5324,0.851
Hyderabad,4.2745,39622,0.8515
Neil Island,4.2736,1809,0.8823
Mayapur,4.2727,121,0.7638
Mumbai,4.271,81483,0.8468
Giridih,4.2707,133,0.8177
Auli,4.2707,133,0.8084
Lepakshi,4.2706,654,0.8293
Malappuram,4.2705,366,0.8146
Jhalawar,4.2703,74,0.8648
Ratnagiri,4.2696,1350,0.8601
Ponnani,4.2692,26,0.7243
Anand,4.2683,287,0.7626
Solapur,4.2676,482,0.8389
Vengurla,4.2671,146,0.8161
Adipur,4.2667,30,0.6915
Nandurbar,4.2667,15,0.8837
Ghatgan,4.2667,30,0.6397
Baramati,4.265,200,0.7732
Jambughoda,4.2647,34,0.8279
Chittoor,4.2644,450,0.8462
Karimnagar,4.2639,72,0.8391
New Delhi,4.2632,96937,0.8745
Bhagsu Nag,4.2632,76,0.9146
Kaloor,4.2632,38,0.828
Vandiperiyar,4.2623,61,0.8926
Sohna,4.2609,23,0.9154
Kannur,4.2607,2436,0.8481
Sangla,4.2606,756,0.8407
Saputara,4.2602,1618,0.8298
Antarvedi,4.26,50,0.8283
Vadodara,4.2592,5699,0.8212
Panjim,4.2584,7114,0.8891
Hisar,4.2576,66,0.8649
Dabguli,4.2574,470,0.9506
Amalapuram,4.2571,35,0.6572
Maihar,4.2558,86,0.8428
Ranchi,4.2555,1577,0.8377
Udaipur,4.2554,30333,0.8369
Davangere,4.2553,47,0.92
Kadi,4.2553,47,0.9884
Ambaji,4.2549,463,0.8322
Gokarna,4.2541,2554,0.8749
Malsi,4.2541,665,0.8867
Panchgani,4.2532,2133,0.8363
Chiplun,4.252,123,0.8454
Mahabaleshwar,4.2514,7779,0.8394
Shankheshwar,4.25,4,1.5
Vikramgadh,4.25,4,0.9574
Carambolim,4.25,8,0.7071
Aversa,4.25,4,0.5
Virudachalam,4.25,4,0.9574
Nakhatrana,4.25,8,0.8864
Labpur,4.25,4,0.9574
Pulpally,4.25,4,0.5
Ambajogai,4.25,8,0.8864
Bhind,4.25,8,1.0351
Sehore,4.25,8,0.7071
Perumbavoor,4.25,36,0.8742
Mawphlang,4.25,60,0.8156
Erimayur-II,4.25,4,0.5
Perambalur,4.25,4,0.9574
Paliyem,4.25,20,0.9105
Thiruchendur,4.25,216,0.8422
Sanquelim,4.25,12,0.7538
Dungarpur,4.25,56,0.8146
Barwani,4.25,4,0.9574
Verinag,4.25,16,0.9309
Mulshi,4.25,8,0.8864
Alipurduar,4.25,8,0.8864
Hundur,4.25,24,0.847
Siliguri,4.2497,789,0.8353
Dhanaulti,4.2496,653,0.8899
Manali,4.2489,15369,0.8366
Kurseong,4.2484,157,0.7898
Hunder,4.2481,133,0.7824
Rupnagar,4.248,250,0.875
Panvel,4.2477,214,0.7928
Nagarhole National Park,4.2476,206,0.89
Ernakulam,4.2463,1506,0.8343
Masinagudi,4.2462,65,0.7712
Vythiri,4.2453,1235,0.8477
Medicherlapalem,4.2449,49,0.8787
Channapatna,4.2446,233,0.9309
Kanha National Park,4.2439,41,0.8883
Kumbhalgarh,4.2438,1899,0.8471
Namchi,4.2426,606,0.8084
Chidambaram,4.2424,656,0.8069
Naggar,4.2421,1041,0.8498
Pathankot,4.2417,120,0.8401
Kutch,4.2411,1240,0.8442
Dudhwa National Park,4.24,25,0.8307
Karjat Town,4.24,125,0.9951
Chapora,4.2395,948,0.8552
Palanpur,4.2394,71,0.8188
Bharatpur,4.2389,2080,0.8432
Nellore,4.2389,314,0.7772
Kodungallur,4.2377,122,0.8629
Thirunageswaram,4.2374,219,0.7409
Pune,4.2372,22907,0.8624
Mohali,4.2371,388,0.9885
Kodaikanal,4.2371,11150,0.8591
Halebid,4.2369,785,0.8541
Satpura National Park,4.2364,55,0.9806
Bhitarkanika National Park,4.2361,72,0.7781
Mawlynnong,4.2361,826,0.8246
Jaipur,4.2355,37717,0.8539
Durgapur,4.2354,463,0.8049
Lataguri,4.2353,17,0.9034
Bhimavaram,4.2353,68,0.7749
Visakhapatnam (Vizag),4.2346,9969,0.8545
Wardha,4.2336,107,0.796
Chengalpattu,4.2333,30,0.8172
Velavadar,4.2333,90,0.8218
Jowai,4.2328,232,0.7989
Calangute,4.232,3194,0.9286
Thiruvannamalai,4.232,707,0.8176
Honnavar,4.2316,95,0.8437
Patiala,4.2315,635,0.7992
Kayavarohan,4.2308,26,0.7646
Dona Paula,4.2308,992,0.8804
Munnar,4.2306,11745,0.8374
Hospet,4.2292,589,0.8412
Karur,4.2292,96,0.7743
