Place,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Pandit Dindyalal Upadhyay Auditorium & Hall,0.7,0.6,1,Positive
Ram Raghav Mandir Ashram,0.7,0.7375,2,Positive
Mazhai Malai Madha Shrine,0.7,0.6,1,Positive
Vinayagar Temple,0.7,0.6,1,Positive
Square One Mall,0.7,0.6,1,Positive
Dr. D. Ering Memorial Wildlife Sanctuary,0.7,0.6083,2,Positive
Chaumu Temple,0.7,0.6,1,Positive
Achal Sahib,0.7,0.6,1,Positive
Gagan Collection,0.7,0.6,1,Positive
Moti Bagh,0.7,0.6,1,Positive
Dudhawa Dam,0.7,0.675,2,Positive
Cottage Craft Centre,0.7,0.6,1,Positive
Billeswar Temple,0.7,0.6,1,Positive
Pallickal Mosque,0.7,0.6,1,Positive
Poonam Art Gallery,0.7,0.77,1,Positive
A One Spa,0.6969,0.6616,10,Positive
Vypin Light House,0.6967,0.875,2,Positive
Akalya Cabs Karur,0.6944,0.5,1,Positive
Blue Planet Scuba,0.6917,0.7,1,Positive
Kani Arts,0.6889,0.6667,2,Positive
Bhate Bunder Beach,0.6861,0.7056,3,Positive
Baladevajew Temple,0.685,0.7283,2,Positive
Artistree Gallery,0.685,0.705,2,Positive
Magic Mountain,0.6833,0.4833,2,Positive
Vijay Kumar Samariya's Cooking Classes,0.6821,0.5068,4,Positive
Brahmeshwar Mahadev Temple,0.6813,0.7896,2,Positive
Yo Tours,0.6805,0.7724,24,Positive
Gomowgli,0.68,0.84,1,Positive
Teatro Dhora,0.6771,0.5958,2,Positive
Jain Muni Samadhi Stahl,0.675,0.775,1,Positive
Visava Waterpark,0.675,0.8,1,Positive
Kedareshwar Dham,0.675,0.5,2,Positive
Ropeway to Bhattafall,0.675,0.75,1,Positive
Nakkash Ki Devi Gomti Dham,0.675,1.0,1,Positive
Matsya Tirtha,0.675,0.75,1,Positive
Sangam Mauli Temple,0.675,0.7875,2,Positive
Bagora and Chimney Villages,0.6747,0.694,5,Positive
Selur View Point,0.6728,0.687,4,Positive
Devdari Falls,0.6693,0.6815,12,Positive
Siddha Ganapati Temple,0.669,0.8571,1,Positive
Gandhi Museum,0.6679,0.7619,1,Positive
Tana Bana maheshwari handloom,0.6678,0.5092,6,Positive
Gurudwara Godavarisar,0.6667,0.7333,1,Positive
Qadam-I-Rasool,0.6667,0.7667,1,Positive
District Tourism Promotion Council,0.6667,0.6833,1,Positive
Kapisthalam Temple,0.6667,1.0,2,Positive
Kailasanathar Cave Temple,0.6667,0.7,1,Positive
Rangoli Sarees,0.6643,0.5036,4,Positive
EarnMyTravel,0.663,0.6028,3,Positive
Galjibag Beach,0.6625,0.7125,1,Positive
Salihundam,0.6625,0.7,2,Positive
Shakoor Lake,0.6624,0.8105,2,Positive
The Ghoranwali,0.6611,0.86,3,Positive
CSI Wesley English Church,0.6604,0.9271,2,Positive
Saddle peak view resort,0.6583,0.3333,2,Positive
Rameshwar Mahadev Temple,0.6583,0.8533,5,Positive
Sri Morjee Temple,0.6583,0.85,2,Positive
Magnitude Gallery,0.6569,0.6069,4,Positive
Vintage Men & Women Outfits,0.6567,0.5033,5,Positive
Kyatanamakki Hill Station,0.6557,0.7093,7,Positive
Jami Mosque of Zinad Baksh,0.655,0.66,2,Positive
Sardulgarh Fort,0.6512,0.7198,6,Positive
Sharavathi Valley View Point,0.6512,0.7425,3,Positive
J James & Co.,0.6512,0.7029,2,Positive
Knockout Fight Club,0.65,0.6875,2,Positive
Life Changing Church,0.65,1.0,1,Positive
Bindra Park,0.65,0.8,1,Positive
Withlovenregards,0.65,0.5625,1,Positive
Anamalai Tiger Reserve,0.65,0.3972,2,Positive
"Ramanuja Mandapam shrine, Mahabalipuram Hill",0.65,0.8,1,Positive
unseen_uttrakhand,0.65,0.8,1,Positive
Bhakti Mandir,0.65,0.8,1,Positive
OddBird Theatre,0.65,0.7,1,Positive
Wild Waters,0.65,0.6583,2,Positive
Kollam Kolli Waterfalls,0.65,0.5562,2,Positive
Sri Biranchinarayan Temple,0.65,0.8,1,Positive
Maanturai Amravaneswarar Temple,0.65,0.8,1,Positive
Indhuvijay,0.65,0.8,1,Positive
Carmelite Monastery,0.65,0.75,1,Positive
Sana Mosque,0.65,0.805,2,Positive
Jaugada Temple,0.65,0.8,1,Positive
Bade Hanuman Ji Mandir,0.6484,0.6786,3,Positive
Dhauliganga Dam,0.645,0.7922,2,Positive
Fmg Mall,0.6444,0.7806,3,Positive
Kannur Indoor Stadium,0.6437,0.5802,4,Positive
Mermaid Aquatic Kingdom Mysore,0.6419,0.6662,2,Positive
Perupalem Beach,0.6417,0.6833,1,Positive
Bagh Travels,0.6393,0.6586,15,Positive
Grand Mall & Tower,0.6375,0.6742,4,Positive
Natural,0.6375,0.7875,2,Positive
Ramachandra Theatre,0.6373,0.7659,2,Positive
Kala Shree Art Temple,0.6373,0.8424,4,Positive
Aryabhatt Planetarium,0.6367,0.5733,5,Positive
Rabandhara Waterfall,0.6338,0.8028,3,Positive
Jay Taxi Service,0.6333,0.5125,2,Positive
Vitthal the Mall,0.6333,0.7217,2,Positive
Earth Art Gallery,0.6333,0.7979,4,Positive
Takhat Sagar Lake,0.6333,0.8667,2,Positive
Puthupally Elephant Point,0.6333,0.6444,3,Positive
Brahmeshwar Nath Temple,0.6333,0.6889,3,Positive
Dikrong river,0.6333,0.7833,3,Positive
Achalam Art Gallery,0.6333,0.275,2,Positive
Kamal Boot House,0.6333,0.6667,1,Positive
Studio 55,0.6314,0.7043,1,Positive
Narada Temple,0.6292,0.7,3,Positive
Indian Motorcycle Tours,0.6281,0.7709,36,Positive
Sri Adishankaracharya Sharada Lakshminarasimha Peetam,0.6278,0.7648,6,Positive
Shree Chorwadi Zund Bhavani Mataji Temple,0.625,1.0,2,Positive
Stallion's Valley,0.625,0.65,1,Positive
Pathan Palace,0.625,0.9,2,Positive
Pakeeza,0.625,0.625,1,Positive
Shree BhavBhavesvar Mahadev,0.625,0.6083,2,Positive
Krishnas Collection Art Gallery,0.625,0.8,1,Positive
Gaddi Buddies,0.625,0.65,1,Positive
Kallol Tirth Tank,0.625,0.9,2,Positive
Edaganatheswarar Temple,0.625,0.5,2,Positive
Van Vihar Wildlife Sanctuary,0.625,0.875,1,Positive
Artwell Studio,0.625,0.875,1,Positive
Pasupu Teertham,0.625,0.5667,1,Positive
Rajput Palace,0.6224,0.6387,8,Positive
Talapady Beach,0.6222,0.7667,1,Positive
Tons Falls,0.6204,0.6844,4,Positive
Mapple Jungle Camp,0.6192,0.7237,13,Positive
Harishankar Falls,0.6177,0.7296,6,Positive
Miriglotah Falls,0.6176,0.7648,3,Positive
Naka-Chikong,0.6167,1.0,1,Positive
CitiMax Cinemas,0.6167,0.6917,2,Positive
Paradise - The Heritage,0.6167,0.8333,2,Positive
Kumaradhara Theertham,0.6167,0.8333,1,Positive
Sri Neelakanteshwara Shrine,0.6167,0.6917,2,Positive
Marvel Art Gallery,0.6156,0.6511,3,Positive
Jahaj Mandir,0.6156,0.665,5,Positive
Anjaneya Swamy Temple & Satya Sai Baba Temple,0.6152,0.6088,3,Positive
Nomadic Trails - India,0.6133,0.7083,3,Positive
Business,0.6127,0.6117,4,Positive
Tapeshwar Mahadev Temple,0.6125,0.875,2,Positive
Hazrat KhwajNasiruddin Mehmood Chirag Dilli Dargah,0.6125,0.6875,1,Positive
Vruksh Mandir Temple,0.6125,0.7812,2,Positive
Sri Balhanuman Mandir,0.6125,0.8562,4,Positive
Machindranath Cave,0.6125,0.55,1,Positive
Kumbha Shyam Temple,0.6125,0.65,1,Positive
Thala Malai,0.6104,0.7271,4,Positive
Kaimur Hills,0.61,0.72,1,Positive
Raj Ratan Bihari Temple,0.6097,0.7182,4,Positive
Chinmay Yoga Center,0.6089,0.7175,3,Positive
HUDA Park,0.6083,0.8167,2,Positive
Krishna Bhavan Mandir,0.6083,0.8167,3,Positive
Rishabhdev RajGhat Udyan,0.6074,0.8295,2,Positive
Kashmir Travel Express,0.6074,0.7205,8,Positive
Kucha Katras,0.6071,0.7143,1,Positive
Samsung Opera House,0.607,0.6757,3,Positive
Shri Mehsana Teerth,0.6062,0.7844,2,Positive
Explore Spiti,0.6062,0.6875,2,Positive
Majalgaon Dam,0.6062,0.8417,4,Positive
Queen's Walkway,0.6061,0.5367,3,Positive
Sri Sithi Vinayagar Sri Muthumariamman Temple,0.606,0.7887,3,Positive
Vimal Garden,0.6056,0.6056,2,Positive
"SK Pottekkatt Cultural Centre, Calicut",0.6056,0.55,3,Positive
Pramod Navalkar Viewing Gallery,0.6044,0.8246,3,Positive
Aravali Vatika,0.6028,0.7667,2,Positive
National Law University,0.6028,0.4506,7,Positive
Kunt Bhayog Lake,0.6017,0.8298,5,Positive
Magraj Pool,0.6014,0.7153,3,Positive
Javadhu Hills,0.6013,0.697,5,Positive
RAZA MASJID,0.6009,0.7768,4,Positive
Timini Temple,0.6,0.8,1,Positive
Kirpal Sagar,0.6,0.7125,1,Positive
Fever Pitch Holidays,0.6,0.525,3,Positive
Sri Mahishamardhini Temple,0.6,0.7333,1,Positive
Kunnoth Juma Masjid,0.6,0.9,1,Positive
Devka-Sun Temple,0.6,0.725,2,Positive
Bhagirathi Park,0.6,0.675,2,Positive
Sesha Teertham,0.6,1.0,1,Positive
Maruthimala,0.6,1.0,1,Positive
Le Revive Spa,0.6,0.8119,5,Positive
Hazira,0.6,0.6667,1,Positive
Sri Pydithalli Ammavari Temple,0.6,0.875,2,Positive
Iravatanesvara Temple,0.6,0.95,2,Positive
HIL Cinema,0.6,0.4,1,Positive
MunnarSpice.com,0.6,0.7806,3,Positive
Deal Bazaar,0.6,0.6333,1,Positive
The Lotus Houseboat,0.6,0.45,1,Positive
Kaksen - Bhagsen Waterfalls,0.6,0.9,1,Positive
Noble Missionary Church,0.6,0.9,1,Positive
Grey Book,0.6,1.0,1,Positive
SAMARTH YOGA DARSHAN,0.6,0.9,1,Positive
Waithou Lake,0.6,0.9,1,Positive
Lord Cornwallis Tomb,0.6,1.0,1,Positive
Kanakadasa Park,0.6,0.7,1,Positive
Satyanarayan Mandir,0.6,1.0,1,Positive
Pandavgad Fort,0.6,0.9,1,Positive
Verna Art Gallery,0.5997,0.6994,2,Positive
Sri Kathiababa Ka Sthan,0.599,0.8687,3,Positive
Balaji Sevasamiti Buldana,0.5979,0.6344,4,Positive
Moho Khurd Dam,0.5964,0.7214,1,Positive
Yadagiri Theatre,0.5958,0.6208,4,Positive
Trimukhi Triguni Aai Shree Varadan Manai Mandir,0.5956,0.7861,5,Positive
Kali Puja,0.5944,0.3236,3,Positive
Khetri Fort,0.5944,0.7889,3,Positive
Maharishi Valmiki Mandir,0.5939,0.6654,2,Positive
Lalaji Bay Beach,0.5938,0.6969,2,Positive
Tiffany's Antiques,0.5938,0.7875,2,Positive
Nirvana Spa,0.5937,0.7234,6,Positive
Nanneshwara Temple,0.5918,0.653,4,Positive
AB Original Tours,0.5918,0.7611,78,Positive
Rajendra Hill,0.5917,0.5875,4,Positive
Lalgarh Eco Park,0.5917,0.5583,2,Positive
Ambur House Art Gallery,0.5907,0.5852,3,Positive
Sri Shantinath Bhagwan Mandir,0.5906,0.7913,5,Positive
Ramna's Tripur Sundari Temple,0.5898,0.9045,4,Positive
Wax Museum Udaipur,0.5894,0.7306,31,Positive
Kuari Pass,0.5889,0.7389,2,Positive
Vivian Coutinho Mansion,0.5889,0.7561,5,Positive
Belur Golf Course,0.588,0.5449,11,Positive
Millenium Garden,0.5875,0.6625,1,Positive
Fly Star Adventure,0.5875,0.7,2,Positive
Ajmal Khan Road,0.5875,0.7,2,Positive
Poloforestcottage,0.5873,0.7509,1,Positive
Manikeshwara Temple,0.5868,0.7639,2,Positive
Aahilya Dam,0.5865,0.7926,5,Positive
Priyanka RCM store DAHEJ,0.5861,0.715,5,Positive
Anjali Sisodia,0.5857,0.5905,1,Positive
Fun Factory,0.5854,0.7729,4,Positive
Shanmuka Peetam,0.5844,0.7531,4,Positive
Chango Temple,0.5833,0.3167,1,Positive
Sri Veeramaathi Amman Temple,0.5833,0.9667,3,Positive
Sri Visveswara Swami Temple,0.5833,0.3167,2,Positive
Damkheda Mandir,0.5833,0.9167,2,Positive
Hornbill Park,0.5833,0.8333,1,Positive
Veer Bahadur Singh Planetarium,0.5833,0.4833,1,Positive
Holistic Spa & Salon Academy,0.583,0.9146,2,Positive
Sri Parvati Gallery,0.5828,0.6908,2,Positive
Harike Lake,0.5822,0.7049,7,Positive
Oriental Arts,0.5817,0.6042,2,Positive
Arulmigu Sri Yoga Narasinga Perumal Thirukovil,0.5812,0.875,2,Positive
Ammaji Mandir,0.5812,0.8875,2,Positive
Painganga Wildlife Sanctuary,0.5812,0.6438,2,Positive
Chal Beach Park,0.581,0.6861,3,Positive
SOHO,0.581,0.6762,1,Positive
Grand Walk Mall Ludhiana,0.5807,0.7303,5,Positive
Jeypore Art & Craft,0.5806,0.7778,3,Positive
Sri Krishna-Balaram Mandir,0.58,0.575,5,Positive
Ebenezer Marthoma Church,0.58,0.715,2,Positive
Rocker Tours n Travels,0.5796,0.6695,52,Positive
Venkataramana Temple,0.5792,0.7792,2,Positive
Tholkappia Poonga,0.5792,0.8292,2,Positive
Kumbhalgarh Taxi Service,0.579,0.6018,4,Positive
Undeshwar Temple,0.5786,0.6478,6,Positive
ISKCON Anantapur Temple,0.5783,0.7187,35,Positive
Unity One Metro Mall,0.5782,0.638,5,Positive
Phoenix United Mall,0.5779,0.6132,16,Positive
Bhauche Udyan Park,0.5778,0.575,3,Positive
BoxingVoxing!,0.5778,0.4,1,Positive
Children Park,0.5769,0.5968,6,Positive
Chulbandh Dam,0.5767,0.75,3,Positive
Elephant View Point,0.5762,0.7887,4,Positive
Shree Giridhar Dham Ashram,0.5758,0.6152,1,Positive
Nyayamkadu Waterfalls,0.5756,0.6383,22,Positive
Sree Devi Preview Theatre,0.5755,0.699,1,Positive
Escapade Adventures and Holidays Pvt. Ltd - Day Tour,0.5752,0.6228,9,Positive
Akal Darshini Lake,0.575,0.75,1,Positive
Wah Rilang,0.575,0.75,2,Positive
Mawthadraishan Peak,0.575,0.6,1,Positive
Our Lady of Health Church,0.575,0.75,2,Positive
Gop Hindu Temple,0.575,0.65,2,Positive
The Tea House,0.575,0.5,2,Positive
Baba Bhole Peer,0.575,0.4875,2,Positive
Hazrat Peer Fatehullah Shah Baba,0.575,0.925,2,Positive
ROHET TOUR & TEXI SERVICE,0.575,0.67,1,Positive
Rani Duduma Waterfalls,0.5745,0.7811,6,Positive
Kusuma Devi Temple,0.5736,0.7628,4,Positive
Museum of Legacies,0.5732,0.6257,5,Positive
Azulejos de Goa,0.5727,0.5875,4,Positive
Renukeshwar Mahadev Temple,0.572,0.699,10,Positive
Shree Art Gallery,0.5713,0.461,4,Positive
Musakhand Dam,0.5713,0.6917,3,Positive
WildHawk Adventures,0.5713,0.6997,5,Positive
Breach Candy Club,0.5708,0.7375,2,Positive
Attiveri Bird Sanctuary,0.5708,0.4833,2,Positive
Sri Vishwaroopa Vijaya Vittala Temple,0.5705,0.6858,2,Positive
Shri Mahalasa Narayani Temple,0.5702,0.651,7,Positive
Mahalakshmi temple lower palace orchards,0.5694,0.7083,3,Positive
Highland Park,0.5693,0.7097,4,Positive
Renuka Yellamma Temple,0.5689,0.5356,3,Positive
Benu Ban Bihari Temple,0.5688,0.925,2,Positive
St Andrew's Church,0.5688,0.8875,2,Positive
Afsal Mandir,0.5679,0.5796,5,Positive
J J Art gallery,0.5675,0.6799,9,Positive
Sailors Home,0.5667,0.5167,3,Positive
Sri Rajagopalaswami temple,0.5667,0.75,3,Positive
Sri Keshava Perumal Koil,0.5667,0.9167,1,Positive
Jain Mutt,0.5667,0.3833,1,Positive
The Elephant House Spa,0.5667,0.65,1,Positive
Sikhareswar Swamy Temple,0.5667,0.675,6,Positive
Sri Ayyappa Swamy Temple,0.5667,0.7833,3,Positive
Shakti Kripa Ashram,0.5667,0.5917,2,Positive
Pandrinath Temple,0.5667,0.8667,1,Positive
Shri Shantadurga Temple,0.5667,0.775,3,Positive
Sri Bharadhan Handicrafts,0.5656,0.8312,2,Positive
Baner Hill,0.5655,0.7275,3,Positive
Litchi Gardens,0.5635,0.6945,15,Positive
Gemstone Ganesh Museum,0.5632,0.8099,12,Positive
The Grape Adventures & Holidays,0.563,0.6538,23,Positive
Chitnavis Centre,0.5625,0.575,1,Positive
Bharat Yoga Session,0.5623,0.6319,14,Positive
Panamaram Jain Temple,0.5618,0.7507,6,Positive
Malankara Dam,0.5612,0.5842,4,Positive
Sri Raveeswarar Temple,0.5611,0.5639,2,Positive
Shri Yugal Kishor Ji Mandir,0.5611,0.6667,3,Positive
Ramalingavilasam Palace,0.5605,0.6443,4,Positive
Lower Pus Dam,0.5604,0.6757,4,Positive
Funarc adventures,0.5604,0.6516,3,Positive
Ranthambore Taxi,0.5601,0.5868,19,Positive
Ambedkar Park,0.56,0.4679,6,Positive
Devbhoomi Adventure Land,0.5587,0.5507,14,Positive
ICCR Art Gallery,0.5586,0.6973,4,Positive
Sadahalli Quarry Temple,0.5583,0.5657,3,Positive
Sri Vazhakarutheeswarar Temple,0.5583,0.875,2,Positive
Kandrour Bridge,0.5583,0.6104,8,Positive
Jayanti Temple Dhwaj,0.5583,0.7292,2,Positive
Dr Rajendra Prasad Ghat,0.5583,0.6417,2,Positive
Shri Mahadev Temple,0.5577,0.7468,3,Positive
Madamsilli Dam,0.5577,0.666,5,Positive
Modart Studio Art Gallery,0.5571,0.6971,1,Positive
Kurattikadu Pattambalam Devi Kshethram Temple,0.5556,0.9472,3,Positive
Shri Shiv Shakti Hanuman Mandir,0.5556,0.4435,3,Positive
Nagesh Water World,0.5556,0.6333,2,Positive
Sri Dandayuthapani Temple,0.555,0.72,5,Positive
S Bapathi St Church,0.5543,0.6621,3,Positive
Vijayasasana Perumal Temple,0.5531,0.7438,4,Positive
Barna Dam,0.5529,0.7711,5,Positive
Katyayani Arts,0.5528,0.6595,14,Positive
Anchor Mall,0.5523,0.5705,4,Positive
Rewild Life Biodiversity Farms,0.5521,0.6415,3,Positive
Shree Meenakshi Sundareshwara Temple,0.5511,0.622,3,Positive
Rustic Plantation,0.551,0.6936,3,Positive
Mughal Palace,0.5508,0.769,3,Positive
Deobandh Temple,0.5506,0.668,7,Positive
Welcome Himalayas Trek,0.5503,0.6427,9,Positive
Rasai Devi Mandir,0.55,1.0,1,Positive
Shobhnath Temple,0.55,0.9438,1,Positive
Upal Universal Mall,0.55,0.8,1,Positive
Rudrapada Temple,0.55,1.0,1,Positive
P. Orr & Sons,0.55,0.75,1,Positive
Kigal Water Falls,0.55,0.475,1,Positive
Mauli Strawberry Farm,0.55,0.775,1,Positive
Sunabeda Wildlife Sanctuary,0.55,0.85,1,Positive
Sipco Curio,0.55,0.7,2,Positive
Great Himalayan Hiking,0.55,0.65,1,Positive
Shri Malingaraya Temple,0.55,0.35,1,Positive
Kottayi Kovilakom Hillock,0.55,0.85,1,Positive
Maa Bishahra Temple,0.55,0.475,1,Positive
Barujjey Pukur,0.55,0.95,1,Positive
Lakshmi-Janardan Temple,0.55,0.9,2,Positive
Honnekatte Temple,0.55,0.35,1,Positive
Hattibet-Devarjan,0.55,0.8542,4,Positive
Gandhi Mandapam,0.55,0.5812,2,Positive
Madhuramurali Ashram,0.55,0.625,2,Positive
Shri Siddhi Buddhi Ganapathy Temple,0.55,0.575,1,Positive
Sidhanthapuram Siva Temple,0.55,0.6611,1,Positive
Chandran Theatre,0.55,0.8,1,Positive
Unora By Tattva Spa,0.5495,0.5778,13,Positive
Delhi Art Gallery,0.549,0.691,10,Positive
Grand Canyon,0.5489,0.7532,6,Positive
St Georges Church,0.5481,0.6736,4,Positive
Karma Spa,0.5478,0.7234,35,Positive
Nandgaon Beach Boisar,0.5472,0.6806,1,Positive
Bhaskar,0.5467,0.7588,4,Positive
Sukanta Academy,0.5462,0.4942,4,Positive
Kerala Private Tours,0.546,0.616,12,Positive
Kariyathumpara,0.546,0.6745,10,Positive
Hansheshwari Temple,0.5458,0.6139,2,Positive
Chopdekar's Sapna Water Sports,0.5446,0.7089,2,Positive
Fun Fantasy,0.5445,0.7467,12,Positive
Gaurav,0.5444,0.6889,1,Positive
Sri Subrahmanyeshwara Swamy Temple,0.5442,0.6267,2,Positive
Esplanade One Mall,0.544,0.6268,7,Positive
Mysore Palace,0.5439,0.7122,4,Positive
Adhbut Temple,0.5436,0.7332,6,Positive
Parwat Vihar Park,0.5435,0.7472,3,Positive
Hamsala Deevi Beach,0.5429,0.6314,4,Positive
Antah Rang A Reflection Of Art,0.5429,0.6722,3,Positive
Achies Art Gallery,0.5425,0.82,5,Positive
Elefuncity,0.5422,0.7537,17,Positive
Uttarayan Complex,0.5417,0.8667,1,Positive
Mata Sheetala Devi Shakti Peetha,0.5417,0.8583,2,Positive
Chaku And Sons,0.5417,0.3583,2,Positive
Rasiya ke Tekri,0.5417,0.6833,2,Positive
Vatika Jewellers,0.5417,0.8194,6,Positive
Sangla Buddhist Monastery,0.5415,0.7289,31,Positive
Keezharkuthu Falls,0.541,0.7,18,Positive
Scuba Yogi,0.541,0.6489,41,Positive
Lakshana Art Gallery,0.541,0.6514,4,Positive
Major Dhyanchand Hockey Stadium,0.5409,0.5841,6,Positive
Markandeshwara Temple,0.5408,0.3733,5,Positive
Telibandha Talab,0.5407,0.7407,3,Positive
Inspirit Art Gallery,0.5406,0.7064,10,Positive
Kadile Papahareshwar Temple,0.5406,0.6469,2,Positive
Buddhist Gompa,0.54,0.7,2,Positive
Swatantryaveer Savarkar Rashtriya Smarak,0.54,0.75,1,Positive
shree jayadurgaparameshwari Temple,0.5396,0.8708,1,Positive
Wat Thai Temple,0.5393,0.8055,14,Positive
Just Go Kashmir,0.5393,0.6278,47,Positive
Shri Krishna Pranami Tempal,0.539,0.6853,8,Positive
Kataria Gems,0.5389,0.7721,3,Positive
Binkadakatti Zoo,0.5389,0.5833,1,Positive
Catedral Del Sagrado Corazon Nueva Delhi,0.5385,0.7869,3,Positive
